"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_NAME","GrantId","DateAwarded","Amount","Grantor","OtherGrantor","GrantType"
475,6/30/2024 0:00:00,253,"INTEGRITY",3397,7/23/2013 0:00:00,5000,"Other","OHIO CREDIT UNION LEAGUE FOUNDATION","Pass Through"
475,6/30/2024 0:00:00,253,"INTEGRITY",4150,10/17/2014 0:00:00,1590,"Other","OHIO CREDIT UNION FOUNDATION","Pass Through"
475,6/30/2024 0:00:00,253,"INTEGRITY",4151,10/14/2014 0:00:00,2500,"Other","Cuna","Pass Through"
475,6/30/2024 0:00:00,253,"INTEGRITY",4421,4/3/2015 0:00:00,8336,"Other","OHIO CREDIT UNION FOUNDATION","Program Grant"
475,6/30/2024 0:00:00,253,"INTEGRITY",7239,6/28/2019 0:00:00,5000,"Other","OHIO CREDIT UNION FOUNDATION","Pass Through"
475,6/30/2024 0:00:00,253,"INTEGRITY",7902,5/18/2020 0:00:00,5000,"Other","OHIO CREDIT UNION FOUNDATION","Pass Through"
475,6/30/2024 0:00:00,253,"INTEGRITY",9837,6/21/2022 4:00:00 AM,1057,"State League Foundation","","Pass Through"
475,6/30/2024 0:00:00,253,"INTEGRITY",9965,9/26/2022 4:00:00 AM,125000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
479,6/30/2024 0:00:00,256,"PARKVIEW COMMUNITY",3743,8/27/2013 0:00:00,5500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
479,6/30/2024 0:00:00,256,"PARKVIEW COMMUNITY",4211,8/1/2014 0:00:00,5500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
479,6/30/2024 0:00:00,256,"PARKVIEW COMMUNITY",4212,3/10/2014 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
479,6/30/2024 0:00:00,256,"PARKVIEW COMMUNITY",8174,5/1/2020 0:00:00,10000,"Other","SBA EIDG","Program Grant"
479,6/30/2024 0:00:00,256,"PARKVIEW COMMUNITY",8719,11/27/2020 0:00:00,10000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
517,6/30/2024 0:00:00,274,"SEI",7829,4/15/2020 0:00:00,10000,"Other","NCUA COVID-19 RELIEF","Program Grant"
524,6/30/2024 0:00:00,276,"BOSTON CUSTOMS",10379,4/25/2023 4:00:00 AM,2000,"Other","Cooperative Credit Union Assn","Program Grant"
538,6/30/2024 0:00:00,282,"GOVERNMENT PRINTING OFFICE",9577,11/5/2021 4:00:00 AM,5000,"Other","Inclusiv","Program Grant"
538,6/30/2024 0:00:00,282,"GOVERNMENT PRINTING OFFICE",10694,5/1/2023 4:00:00 AM,10000,"Other","Inclusiv","Program Grant"
566,6/30/2024 0:00:00,290,"NUVISION",10846,10/3/2023 7:00:00 AM,2478839,"Community Development Financial Institution (CDFI)","","Program Grant"
613,6/30/2024 0:00:00,311,"EMPIRE ONE",4682,4/30/2015 0:00:00,750,"Other","New York State Credit Union Foundation","Program Grant"
613,6/30/2024 0:00:00,311,"EMPIRE ONE",4683,4/28/2015 0:00:00,500,"Other","Cuna","Program Grant"
616,6/30/2024 0:00:00,314,"NEW HORIZON",4666,8/3/2015 0:00:00,10000,"Other","OSCUI","Program Grant"
616,6/30/2024 0:00:00,314,"NEW HORIZON",5943,9/19/2017 0:00:00,776500,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
616,6/30/2024 0:00:00,314,"NEW HORIZON",6196,11/27/2017 0:00:00,25000,"National Credit Union Foundation","","Program Grant"
616,6/30/2024 0:00:00,314,"NEW HORIZON",7486,11/19/2019 0:00:00,565000,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
616,6/30/2024 0:00:00,314,"NEW HORIZON",8940,6/15/2021 4:00:00 AM,1200000,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
616,6/30/2024 0:00:00,314,"NEW HORIZON",9761,12/8/2021 5:00:00 AM,590000,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
616,6/30/2024 0:00:00,314,"NEW HORIZON",10321,2/28/2023 5:00:00 AM,560000,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
644,6/30/2024 0:00:00,330,"TRAILHEAD",4673,7/28/2015 0:00:00,10000,"National Credit Union Foundation","","Pass Through"
644,6/30/2024 0:00:00,330,"TRAILHEAD",5376,7/25/2016 0:00:00,7000,"National Credit Union Foundation","","Pass Through"
644,6/30/2024 0:00:00,330,"TRAILHEAD",5882,9/27/2016 0:00:00,811000,"Community Development Financial Institution (CDFI)","","Program Grant"
644,6/30/2024 0:00:00,330,"TRAILHEAD",6774,10/29/2018 0:00:00,8000,"Community Development Financial Institution (CDFI)","","Pass Through"
644,6/30/2024 0:00:00,330,"TRAILHEAD",7049,9/27/2016 0:00:00,150000,"Community Development Financial Institution (CDFI)","","Program Grant"
644,6/30/2024 0:00:00,330,"TRAILHEAD",7520,9/27/2016 0:00:00,156666,"Community Development Financial Institution (CDFI)","","Program Grant"
644,6/30/2024 0:00:00,330,"TRAILHEAD",7730,4/8/2020 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Pass Through"
644,6/30/2024 0:00:00,330,"TRAILHEAD",9055,6/15/2021 7:00:00 AM,1826265,"Community Development Financial Institution (CDFI)","","Pass Through"
648,6/30/2024 0:00:00,334,"HOWARD UNIVERSITY EMPLOYEES",8900,6/1/2020 0:00:00,2750,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
665,6/30/2024 0:00:00,342,"PENINSULA COMMUNITY",3327,5/3/2013 0:00:00,10700,"Other","Northwest Credit Union Foundation","Program Grant"
665,6/30/2024 0:00:00,342,"PENINSULA COMMUNITY",5048,3/31/2016 0:00:00,2000000,"Community Development Financial Institution (CDFI)","","Capital- unrestricted donation to equity"
665,6/30/2024 0:00:00,342,"PENINSULA COMMUNITY",5228,3/9/2016 0:00:00,10000,"Other","Express Advantage CU/Northwest Area Foundation","Program Grant"
665,6/30/2024 0:00:00,342,"PENINSULA COMMUNITY",6868,12/26/2018 0:00:00,20000,"Other","Northwest Credit Union Foundation","Program Grant"
665,6/30/2024 0:00:00,342,"PENINSULA COMMUNITY",7221,8/29/2019 0:00:00,5000,"Other","NCUA CDRLF","Program Grant"
665,6/30/2024 0:00:00,342,"PENINSULA COMMUNITY",7447,12/26/2019 0:00:00,77000,"Other","Northwest Credit Union Foundation","Program Grant"
665,6/30/2024 0:00:00,342,"PENINSULA COMMUNITY",7770,5/5/2020 0:00:00,10000,"Other","Small Business Administration EIDL Grant'","Program Grant"
665,6/30/2024 0:00:00,342,"PENINSULA COMMUNITY",8287,10/8/2020 0:00:00,900000,"Community Development Financial Institution (CDFI)","","Capital- unrestricted donation to equity"
665,6/30/2024 0:00:00,342,"PENINSULA COMMUNITY",8535,11/12/2020 0:00:00,5000,"Other","NCUA -CDRLF","Program Grant"
665,6/30/2024 0:00:00,342,"PENINSULA COMMUNITY",8545,1/4/2021 0:00:00,1125,"Other","NWCUF - PSELP","Program Grant"
665,6/30/2024 0:00:00,342,"PENINSULA COMMUNITY",8818,3/22/2021 0:00:00,5000,"Other","Washington Economic Development Association","Program Grant"
665,6/30/2024 0:00:00,342,"PENINSULA COMMUNITY",8921,6/15/2021 0:00:00,1826265,"Community Development Financial Institution (CDFI)","","Capital- unrestricted donation to equity"
678,6/30/2024 0:00:00,348,"FAMILY 1ST OF TEXAS",11354,3/20/2024 5:00:00 AM,3411,"State League Foundation","","Program Grant"
798,6/30/2024 0:00:00,393,"TRANSIT AUTHORITY DIVISION B",8582,12/21/2020 5:00:00 AM,6168,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
808,6/30/2024 0:00:00,398,"U.S. EAGLE",9919,5/19/2022 6:00:00 AM,125000,"Community Development Financial Institution (CDFI)","","Program Grant"
817,6/30/2024 0:00:00,401,"ROCHESTER & MONROE CO EMP",8877,1/7/2021 5:00:00 AM,3000,"Other","NYS Credit Union League","Program Grant"
818,6/30/2024 0:00:00,402,"GOWANDA AREA",8061,4/6/2020 0:00:00,5000,"Other","Alloya Corporate FCU","Program Grant"
818,6/30/2024 0:00:00,402,"GOWANDA AREA",9849,5/18/2022 4:00:00 AM,3000,"National Credit Union Foundation","","Program Grant"
838,6/30/2024 0:00:00,413,"APS",594,7/30/2010 0:00:00,5000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Not Collected"
841,6/30/2024 0:00:00,416,"ALLEGHENY CENTRAL",2018,8/15/2012 0:00:00,13877,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Not Collected"
841,6/30/2024 0:00:00,416,"ALLEGHENY CENTRAL",2019,5/1/2012 4:00:00 AM,3000,"Other","No idea","Not Collected"
845,6/30/2024 0:00:00,418,"BUFFALO CONRAIL",10536,4/27/2023 4:00:00 AM,4895,"Other","New York Credit Union Foundation","Program Grant"
845,6/30/2024 0:00:00,418,"BUFFALO CONRAIL",10739,9/5/2023 4:00:00 AM,549,"Other","New York Credit Union Association","Program Grant"
845,6/30/2024 0:00:00,418,"BUFFALO CONRAIL",11267,3/8/2024 5:00:00 AM,5000,"Other","New York Credit Union Association","Program Grant"
