"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_PG0001","ACCT_PG0002","ACCT_PP0037","ACCT_PP0038","ACCT_PP0039","ACCT_PP0040","ACCT_PP0041","ACCT_PP0042","ACCT_PP0043","ACCT_PP0044","ACCT_PP0045","ACCT_PP0046","ACCT_PP0047","ACCT_PP0048","ACCT_PP0049","ACCT_PP0050","ACCT_PP0051","ACCT_PP0052","ACCT_PP0053","ACCT_PP0054","ACCT_PP0055","ACCT_PP0056","ACCT_PP0057","ACCT_PR0001","ACCT_PR0002","ACCT_PR0003","ACCT_PR0004"
51,6/30/2024 0:00:00,32,"5493008RNHC5I1E3IZ56","Automated","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 21 2023  5:00AM"
53,6/30/2024 0:00:00,33,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
60,6/30/2024 0:00:00,35,"549300REHZOIYMHDP161","Combination","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan  3 2023  6:00AM"
77,6/30/2024 0:00:00,41,"549300VTMXH07KUIB722","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 13 2023  6:00AM"
79,6/30/2024 0:00:00,43,"54930027GUR70U427Y19","Combination","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  5 2024  6:00AM"
82,6/30/2024 0:00:00,46,"5493oogmxzwxnos1us34","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 26 2024  5:00AM"
90,6/30/2024 0:00:00,49,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
98,6/30/2024 0:00:00,54,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
107,6/30/2024 0:00:00,57,"","Combination","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","",""
108,6/30/2024 0:00:00,58,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
110,6/30/2024 0:00:00,59,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
119,6/30/2024 0:00:00,62,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
120,6/30/2024 0:00:00,63,"894500VDUJSEIIB2BZ77","Combination","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
132,6/30/2024 0:00:00,69,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
135,6/30/2024 0:00:00,70,"549300XBN09FJNIT5G5","Manual","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2024  6:00AM"
138,6/30/2024 0:00:00,72,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
146,6/30/2024 0:00:00,74,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
147,6/30/2024 0:00:00,75,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
150,6/30/2024 0:00:00,77,"549300AN5V81GRYDJ823","Combination","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 29 2024  5:00AM"
151,6/30/2024 0:00:00,78,"549300AOB4S7B0DB7863","Combination","1","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  1 2024  5:00AM"
153,6/30/2024 0:00:00,80,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
159,6/30/2024 0:00:00,83,"549300ZBBGOL4MIK0L71","Combination","1","1","1","1","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 23 2024  5:00AM"
162,6/30/2024 0:00:00,85,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
167,6/30/2024 0:00:00,87,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
168,6/30/2024 0:00:00,88,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
169,6/30/2024 0:00:00,89,"","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
176,6/30/2024 0:00:00,92,"549300GL556PQ7WG0G08","Combination","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Sep 22 2023  4:00AM"
187,6/30/2024 0:00:00,100,"","Automated","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
195,6/30/2024 0:00:00,104,"","Automated","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
196,6/30/2024 0:00:00,105,"549300ZIQ24V0C88AC41","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 20 2024  5:00AM"
198,6/30/2024 0:00:00,107,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
199,6/30/2024 0:00:00,108,"254900PZMV3V09E3HO","Combination","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","Jan 19 2024  6:00AM"
200,6/30/2024 0:00:00,109,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
205,6/30/2024 0:00:00,112,"549300PYZVSM1PP3GI62","Combination","1","1","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2024  5:00AM"
216,6/30/2024 0:00:00,116,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
220,6/30/2024 0:00:00,117,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
224,6/30/2024 0:00:00,119,"","Combination","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
227,6/30/2024 0:00:00,121,"549300FX7K8PTEQUU487","Combination","1","1","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 27 2024  5:00AM"
233,6/30/2024 0:00:00,124,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
234,6/30/2024 0:00:00,125,"254900mc3k81xoe85m60","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan  9 2020  5:00AM"
240,6/30/2024 0:00:00,128,"5493001XNU40KOITE062","Combination","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan  8 2024  5:00AM"
242,6/30/2024 0:00:00,129,"","Combination","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","",""
256,6/30/2024 0:00:00,136,"","Automated","1","1","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","","","",""
258,6/30/2024 0:00:00,137,"549300ODE6V13YFWTW21","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 31 2024  6:00AM"
262,6/30/2024 0:00:00,139,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
266,6/30/2024 0:00:00,143,"","Combination","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","",""
274,6/30/2024 0:00:00,149,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
277,6/30/2024 0:00:00,152,"","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
287,6/30/2024 0:00:00,154,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
288,6/30/2024 0:00:00,155,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
294,6/30/2024 0:00:00,160,"5493003GJY287GiWFH36","Combination","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 15 2023  5:00AM"
303,6/30/2024 0:00:00,166,"549300JUZBXW5SUK5V79","Combination","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 31 2024  5:00AM"
306,6/30/2024 0:00:00,168,"25490053IH908EDF8D65","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 31 2023  5:00AM"
319,6/30/2024 0:00:00,173,"","Automated","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
320,6/30/2024 0:00:00,174,"549300DNWSJUNAWUM003","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 10 2024  5:00AM"
340,6/30/2024 0:00:00,183,"549300wkoe38pnusod49","Automated","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2023  5:00AM"
352,6/30/2024 0:00:00,188,"549300SCF56K6YEG7X54","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  7 2024  5:00AM"
361,6/30/2024 0:00:00,193,"549300XOP6YO0UN0TY92","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2024  5:00AM"
365,6/30/2024 0:00:00,197,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
367,6/30/2024 0:00:00,199,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
370,6/30/2024 0:00:00,201,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
373,6/30/2024 0:00:00,203,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
376,6/30/2024 0:00:00,206,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
378,6/30/2024 0:00:00,208,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
383,6/30/2024 0:00:00,211,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
389,6/30/2024 0:00:00,214,"549300CAVVHZY16D5T08","Combination","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 17 2024  5:00AM"
390,6/30/2024 0:00:00,215,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
395,6/30/2024 0:00:00,217,"549300W8FXJXRVKIT387","Automated","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","Feb 13 2024  5:00AM"
404,6/30/2024 0:00:00,222,"549300MUEGVFZ2155D91","Combination","1","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 15 2023  6:00AM"
422,6/30/2024 0:00:00,229,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
430,6/30/2024 0:00:00,232,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
435,6/30/2024 0:00:00,235,"","Combination","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","",""
444,6/30/2024 0:00:00,239,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
452,6/30/2024 0:00:00,240,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
464,6/30/2024 0:00:00,246,"5493009TOEDMWVNG1442","Combination","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2024  5:00AM"
473,6/30/2024 0:00:00,252,"549300NAZLKUFCJIO704","Combination","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan  9 2024  6:00AM"
475,6/30/2024 0:00:00,253,"","Manual","1","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","","","",""
477,6/30/2024 0:00:00,255,"254900P44XJB3CPZ4V05","Combination","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 31 2024  5:00AM"
479,6/30/2024 0:00:00,256,"254900IO17FEFA74V155","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan  9 2024  5:00AM"
484,6/30/2024 0:00:00,257,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
489,6/30/2024 0:00:00,259,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
490,6/30/2024 0:00:00,260,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","",""
511,6/30/2024 0:00:00,271,"549300ISBO500DQ50239","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 29 2024  5:00AM"
514,6/30/2024 0:00:00,272,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
517,6/30/2024 0:00:00,274,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
524,6/30/2024 0:00:00,276,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
528,6/30/2024 0:00:00,277,"549300DEVPMBR765WH45","Combination","1","1","1","1","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 18 2024  7:00AM"
538,6/30/2024 0:00:00,282,"","Automated","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","",""
566,6/30/2024 0:00:00,290,"549300F6NSBOJBM9ED39","Automated","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
567,6/30/2024 0:00:00,291,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
577,6/30/2024 0:00:00,293,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
594,6/30/2024 0:00:00,302,"549300LNJJYJMOPHAH96","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2024  8:00AM"
606,6/30/2024 0:00:00,307,"","Combination","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","",""
609,6/30/2024 0:00:00,309,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
613,6/30/2024 0:00:00,311,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
616,6/30/2024 0:00:00,314,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
619,6/30/2024 0:00:00,316,"549300SY0ZRUCS4CSY07","Automated","1","1","1","1","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","1","1","1","Feb 14 2024  5:00AM"
620,6/30/2024 0:00:00,317,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
624,6/30/2024 0:00:00,321,"549300TULDV69V2XKY60","Automated","1","1","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","Jan 30 2024  5:00AM"
640,6/30/2024 0:00:00,328,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
644,6/30/2024 0:00:00,330,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
648,6/30/2024 0:00:00,334,"","","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
649,6/30/2024 0:00:00,335,"254900C93QPBEWPGBI16","Combination","1","1","1","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 12 2020  5:00AM"
663,6/30/2024 0:00:00,341,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
665,6/30/2024 0:00:00,342,"","Combination","1","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","","","",""
678,6/30/2024 0:00:00,348,"","Combination","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
680,6/30/2024 0:00:00,349,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
687,6/30/2024 0:00:00,352,"","Combination","1","1","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","","","",""
690,6/30/2024 0:00:00,353,"549300SP39BCL43JUN40","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  6 2024  5:00AM"
716,6/30/2024 0:00:00,364,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
761,6/30/2024 0:00:00,375,"","Combination","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
770,6/30/2024 0:00:00,378,"5493002PPPIVY6G0AH03","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 16 2024  5:00AM"
785,6/30/2024 0:00:00,386,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
794,6/30/2024 0:00:00,390,"5493008YRTIU0FNCTY07","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2024  5:00AM"
795,6/30/2024 0:00:00,391,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
798,6/30/2024 0:00:00,393,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
808,6/30/2024 0:00:00,398,"549300H6J0XZXQGKDW16","Automated","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 12 2024  7:00AM"
817,6/30/2024 0:00:00,401,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
818,6/30/2024 0:00:00,402,"","Automated","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
832,6/30/2024 0:00:00,409,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
838,6/30/2024 0:00:00,413,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
839,6/30/2024 0:00:00,414,"","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
841,6/30/2024 0:00:00,416,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
845,6/30/2024 0:00:00,418,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
850,6/30/2024 0:00:00,420,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
851,6/30/2024 0:00:00,421,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
854,6/30/2024 0:00:00,423,"254900O86JRT86YLQO47","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 19 2024  5:00AM"
856,6/30/2024 0:00:00,425,"","Manual","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
857,6/30/2024 0:00:00,426,"5493004UNRG4PWDF2K60","Automated","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2024  5:00AM"
858,6/30/2024 0:00:00,427,"894500C7FEAC4HQJCK52","Automated","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2024  5:00AM"
871,6/30/2024 0:00:00,432,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
872,6/30/2024 0:00:00,433,"","Combination","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
884,6/30/2024 0:00:00,441,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
887,6/30/2024 0:00:00,444,"549300V0B2PZ5XF4SB58","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 14 2024  7:00AM"
888,6/30/2024 0:00:00,445,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
900,6/30/2024 0:00:00,451,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
909,6/30/2024 0:00:00,455,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
911,6/30/2024 0:00:00,457,"5493002Z4GZF8C2F3T27","Combination","1","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 31 2023  5:00AM"
916,6/30/2024 0:00:00,460,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
926,6/30/2024 0:00:00,465,"254900UQIE22KBNLG837","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
930,6/30/2024 0:00:00,466,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
932,6/30/2024 0:00:00,468,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
943,6/30/2024 0:00:00,473,"","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
946,6/30/2024 0:00:00,475,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
948,6/30/2024 0:00:00,476,"5493007B1GAUZGYHPR07","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2024  7:00AM"
951,6/30/2024 0:00:00,477,"","Automated","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","",""
960,6/30/2024 0:00:00,482,"984500DE6B6YB8A5H465","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
964,6/30/2024 0:00:00,485,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","",""
967,6/30/2024 0:00:00,486,"549300M9RHNQ4107R694","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 30 2024  5:00AM"
986,6/30/2024 0:00:00,494,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
988,6/30/2024 0:00:00,495,"25490059CRJPDQXWL974","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2025  5:00AM"
1000,6/30/2024 0:00:00,500,"","Combination","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
1015,6/30/2024 0:00:00,509,"549300VFH2iXM3i18P78","Combination","1","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 24 2023  5:00AM"
