"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_PG0001","ACCT_PP0037","ACCT_PP0038","ACCT_PP0039","ACCT_PP0040","ACCT_PP0041","ACCT_PP0042","ACCT_PP0043","ACCT_PP0044","ACCT_PP0045","ACCT_PP0046","ACCT_PP0047","ACCT_PP0048","ACCT_PR0001","ACCT_PR0002","ACCT_PR0003","ACCT_PR0004","BoardAsianAmerican","BoardBlackAmerican","BoardHispanicAmerican","BoardMinorityStatus","BoardNativeAmerican","CurMemAsianAmerican","CurMemBlackAmerican","CurMemHispanicAmerican","CurMemMinorityStatus","CurMemNativeAmerican","EligibleMinorityStatus","FOMAsianAmerican","FOMBlackAmerican","FOMHispanicAmerican","FOMMinorityStatus","FOMNativeAmerican","MemberMinorityStatus"
77,12/31/2024 0:00:00,41,"549300VTMXH07KUIB722","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  7 2024  6:00AM","","","","","","","","","","","","","","","","",""
79,12/31/2024 0:00:00,43,"54930027GUR70U427Y19","1","0","0","0","1","0","0","0","1","0","1","0","1","1","1","Feb  5 2024  6:00AM","","","","","","","","","","","","","","","","",""
82,12/31/2024 0:00:00,46,"5493oogmxzwxnos1us34","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2024  5:00AM","","","","","","","","","","","","","","","","",""
90,12/31/2024 0:00:00,49,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
98,12/31/2024 0:00:00,54,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
107,12/31/2024 0:00:00,57,"","1","1","0","0","1","0","0","1","1","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
108,12/31/2024 0:00:00,58,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
110,12/31/2024 0:00:00,59,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
119,12/31/2024 0:00:00,62,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
120,12/31/2024 0:00:00,63,"894500VDUJSEIIB2BZ77","1","1","0","0","0","0","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
132,12/31/2024 0:00:00,69,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","1","1","","","1","","1","","","","1","","1","",""
135,12/31/2024 0:00:00,70,"549300XBN09FJNIT5G55","1","0","1","0","0","0","0","1","0","0","0","0","1","1","1","Mar 21 2024  5:00AM","","","","","","","","","","","","","","","","",""
138,12/31/2024 0:00:00,72,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
146,12/31/2024 0:00:00,74,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
147,12/31/2024 0:00:00,75,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
150,12/31/2024 0:00:00,77,"549300AN5V81GRYDJ823","1","0","0","0","0","0","0","1","0","1","0","0","1","1","","","","1","","1","","","","","","","","","","","","",""
151,12/31/2024 0:00:00,78,"549300AOB4S7B0DB7863","1","1","1","1","1","1","0","0","0","0","1","0","1","1","1","Feb  1 2024  5:00AM","","","","","","","","","","","","","","","","",""
153,12/31/2024 0:00:00,80,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
159,12/31/2024 0:00:00,83,"549300ZBBGOL4MIK0L71","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","Feb 23 2024  5:00AM","","","","","","","","","","","","","","","","",""
162,12/31/2024 0:00:00,85,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
167,12/31/2024 0:00:00,87,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
168,12/31/2024 0:00:00,88,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
169,12/31/2024 0:00:00,89,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
176,12/31/2024 0:00:00,92,"549300GL556PQ7WG0G08","1","1","1","1","1","0","0","0","0","0","1","0","1","1","1","","","","","","","1","1","1","1","","","","","","","",""
187,12/31/2024 0:00:00,100,"","1","0","1","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
195,12/31/2024 0:00:00,104,"","1","1","0","0","0","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","",""
196,12/31/2024 0:00:00,105,"549300ZIQ24V0C88AC41","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 20 2024  5:00AM","","","","","","","","","","","","","","","","",""
198,12/31/2024 0:00:00,107,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
199,12/31/2024 0:00:00,108,"254900PZMV3V09E3HO84","1","1","0","0","0","0","0","0","1","0","0","1","1","1","1","Jan 15 2025  6:00AM","","","","","","","","","","","","","","","","",""
200,12/31/2024 0:00:00,109,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
205,12/31/2024 0:00:00,112,"549300PYZVSM1PP3GI62","1","1","1","1","1","0","0","0","1","0","1","0","1","1","1","Feb 28 2024  5:00AM","","","","","","","","","","","","","","","","",""
216,12/31/2024 0:00:00,116,"","1","0","1","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
220,12/31/2024 0:00:00,117,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
224,12/31/2024 0:00:00,119,"","1","1","1","1","1","0","0","1","1","0","1","0","1","1","","","","1","","1","","","","","","","","","1","","1","",""
227,12/31/2024 0:00:00,121,"549300FX7K8PTEQUU487","1","1","1","1","1","1","0","0","1","1","1","0","1","1","1","Feb 27 2024  5:00AM","","","","","","","","","","","","","","","","",""
233,12/31/2024 0:00:00,124,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","1","","1","","","","","","","",""
234,12/31/2024 0:00:00,125,"254900mc3k81xoe85m60","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2025  5:00AM","","","","","","","","","","","","","","","","",""
240,12/31/2024 0:00:00,128,"5493001XNU40KOITE062","1","0","0","0","0","0","0","0","1","0","0","0","1","1","1","Jan  8 2024  5:00AM","","","","","","","","","","","","","","","","",""
242,12/31/2024 0:00:00,129,"254900R21YNPTNWW1L44","1","0","1","0","0","0","0","0","0","0","1","0","1","1","1","Feb 21 2024  6:00AM","","","","","","","","","","","","","","","","",""
256,12/31/2024 0:00:00,136,"","1","1","0","1","1","0","0","0","1","0","1","0","1","1","","","","","","","","","","","","","","","","","","",""
258,12/31/2024 0:00:00,137,"549300ODE6V13YFWTW21","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 31 2024  6:00AM","","","","","","","","","","","","","","","","",""
262,12/31/2024 0:00:00,139,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
266,12/31/2024 0:00:00,143,"549300p1orvtmt2t7756","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","Feb  7 2024  5:00AM","1","1","1","1","","","","","","","","","","","","",""
274,12/31/2024 0:00:00,149,"","1","0","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
277,12/31/2024 0:00:00,152,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
287,12/31/2024 0:00:00,154,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
288,12/31/2024 0:00:00,155,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
294,12/31/2024 0:00:00,160,"5493003GJY287GiWFH36","1","1","0","0","0","0","0","1","1","0","0","0","1","1","1","Feb 14 2024  5:00AM","","","","","","","","","","","","","","","","",""
303,12/31/2024 0:00:00,166,"549300JUZBXW5SUK5V79","1","1","0","0","1","0","0","1","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
306,12/31/2024 0:00:00,168,"25490053IH908EDF8D65","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
319,12/31/2024 0:00:00,173,"","1","0","0","0","0","0","0","0","1","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
320,12/31/2024 0:00:00,174,"549300DNWSJUNAWUM003","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
340,12/31/2024 0:00:00,183,"549300wkoe38pnusod49","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2024  5:00AM","","","","","","","","","","","","","","","","",""
352,12/31/2024 0:00:00,188,"549300SCF56K6YEG7X54","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 29 2025  5:00AM","","","","","","","","","","","","","","","","",""
361,12/31/2024 0:00:00,193,"549300XOP6YO0UN0TY92","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2024  5:00AM","","","","","","","","","","","","","","","","",""
365,12/31/2024 0:00:00,197,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
367,12/31/2024 0:00:00,199,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","","","","","","","1","","1","",""
370,12/31/2024 0:00:00,201,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
373,12/31/2024 0:00:00,203,"254900PW1USAMXJ2SQ82","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2019  5:00AM","","","","","","","","","","","","","","","","",""
376,12/31/2024 0:00:00,206,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
378,12/31/2024 0:00:00,208,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
383,12/31/2024 0:00:00,211,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","1","","1","","","","","","","",""
389,12/31/2024 0:00:00,214,"549300CAVVHZY16D5T08","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","Jan 16 2025  5:00AM","","","","","","","","","","","","","","","","",""
390,12/31/2024 0:00:00,215,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
395,12/31/2024 0:00:00,217,"549300W8FXJXRVKIT387","1","0","0","0","0","0","0","0","0","0","0","1","1","1","","","","","","","","","","","","","","","","","","",""
404,12/31/2024 0:00:00,222,"549300MUEGVFZ2155D91","1","1","0","1","1","0","0","0","0","0","1","0","1","1","1","Feb 15 2024  6:00AM","","","","","","","","","","","","","","","","",""
422,12/31/2024 0:00:00,229,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
430,12/31/2024 0:00:00,232,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
435,12/31/2024 0:00:00,235,"254900EZRN0CBEP77K34","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 29 2024  5:00AM","","","","","","","","","","","","","","","","",""
444,12/31/2024 0:00:00,239,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
452,12/31/2024 0:00:00,240,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
464,12/31/2024 0:00:00,246,"5493009TOEDMWVNG1442","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","Feb 26 2024  5:00AM","","","","","","","","","","","","","","","","",""
473,12/31/2024 0:00:00,252,"549300NAZLKUFCJIO704","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","Jan  9 2024  6:00AM","","","","","","","","","","","","","","","","",""
475,12/31/2024 0:00:00,253,"","1","1","1","1","1","0","0","0","1","0","1","1","1","1","","","","","","","","","","","","","","","","","","",""
477,12/31/2024 0:00:00,255,"254900P44XJB3CPZ4V05","1","0","1","0","0","0","0","0","1","0","0","0","1","1","1","Jan 31 2024  5:00AM","","","","","","","","","","","","","","","","",""
484,12/31/2024 0:00:00,257,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
489,12/31/2024 0:00:00,259,"254900HUD7SD8U5L3C11","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  1 2024  5:00AM","","","","","","","","","","","","","","","","",""
490,12/31/2024 0:00:00,260,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
511,12/31/2024 0:00:00,271,"549300ISBO500DQ50239","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2024  5:00AM","","","","","","","","","","","","","","","","",""
514,12/31/2024 0:00:00,272,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
517,12/31/2024 0:00:00,274,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
524,12/31/2024 0:00:00,276,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
528,12/31/2024 0:00:00,277,"549300DEVPMBR765WH45","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","Jan 14 2025  7:00AM","","","","","","","","","","","","","","","","",""
538,12/31/2024 0:00:00,282,"","1","0","1","0","0","0","0","0","0","0","0","1","","","","","","1","","1","","","1","","1","","","","","","","",""
566,12/31/2024 0:00:00,290,"549300F6NSBOJBM9ED39","1","1","0","1","1","0","0","0","0","0","0","0","1","1","1","Mar  1 2024  8:00AM","","","","","","","","","","","","","","","","",""
567,12/31/2024 0:00:00,291,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
577,12/31/2024 0:00:00,293,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
594,12/31/2024 0:00:00,302,"549300LNJJYJMOPHAH96","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 15 2024  8:00AM","","","","","","","","","","","","","","","","",""
606,12/31/2024 0:00:00,307,"","1","1","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
609,12/31/2024 0:00:00,309,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
613,12/31/2024 0:00:00,311,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
616,12/31/2024 0:00:00,314,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
619,12/31/2024 0:00:00,316,"549300SY0ZRUCS4CSY07","1","1","1","1","1","0","0","0","1","0","1","1","1","1","1","Feb 14 2024  5:00AM","","","","","","","","","","","","","","","","",""
620,12/31/2024 0:00:00,317,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
624,12/31/2024 0:00:00,321,"549300TULDV69V2XKY60","1","1","0","1","1","1","0","0","0","0","0","1","1","1","1","Feb  1 2024  5:00AM","","","","","","","","","","","","","","","","",""
640,12/31/2024 0:00:00,328,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
644,12/31/2024 0:00:00,330,"","1","1","1","1","1","1","1","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
649,12/31/2024 0:00:00,335,"254900C93QPBEWPGBI16","1","1","1","0","1","1","0","1","0","0","1","0","","","","","","","","","","","","","","","","","","","","",""
663,12/31/2024 0:00:00,341,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
665,12/31/2024 0:00:00,342,"","1","1","1","1","1","0","0","0","1","0","1","0","","","","","","","","","","","","","","","","","","","","",""
678,12/31/2024 0:00:00,348,"","1","0","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
687,12/31/2024 0:00:00,352,"","1","1","0","1","1","0","0","0","1","0","1","0","","","","","","","","","","","","","","","","","","","","",""
690,12/31/2024 0:00:00,353,"549300SP39BCL43JUN40","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  6 2024  5:00AM","","","","","","","","","","","","","","","","",""
716,12/31/2024 0:00:00,364,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
761,12/31/2024 0:00:00,375,"","1","0","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
770,12/31/2024 0:00:00,378,"5493002PPPIVY6G0AH03","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","","","","","","","","","","","","","","","","","",""
785,12/31/2024 0:00:00,386,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
794,12/31/2024 0:00:00,390,"5493008YRTIU0FNCTY07","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2024  5:00AM","","","","","","","","","","","","","","","","",""
795,12/31/2024 0:00:00,391,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
798,12/31/2024 0:00:00,393,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
808,12/31/2024 0:00:00,398,"549300H6J0XZXQGKDW16","1","1","1","0","1","0","0","0","1","0","0","0","1","1","1","Feb 12 2024  7:00AM","1","1","1","1","1","","","","","","","1","1","1","1","1",""
817,12/31/2024 0:00:00,401,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
818,12/31/2024 0:00:00,402,"","1","0","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
832,12/31/2024 0:00:00,409,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
838,12/31/2024 0:00:00,413,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
839,12/31/2024 0:00:00,414,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
841,12/31/2024 0:00:00,416,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
845,12/31/2024 0:00:00,418,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
850,12/31/2024 0:00:00,420,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","1","1","","","","1","1","","","","","1","1","",""
851,12/31/2024 0:00:00,421,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
854,12/31/2024 0:00:00,423,"254900O86JRT86YLQO47","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 19 2024  5:00AM","","","","","","","","","","","","","","","","",""
856,12/31/2024 0:00:00,425,"","1","0","0","0","0","0","0","0","1","0","0","0","","","","","","","1","1","","","","1","1","","","","","1","1","",""
857,12/31/2024 0:00:00,426,"5493004UNRG4PWDF2K60","1","0","0","0","0","0","0","0","1","0","0","1","1","1","1","Mar  1 2024  5:00AM","","","","","","","","","","","","","","","","",""
858,12/31/2024 0:00:00,427,"894500C7FEAC4HQJCK52","1","0","1","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
871,12/31/2024 0:00:00,432,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
872,12/31/2024 0:00:00,433,"549300PVS7DLMY766R09","1","0","1","0","0","0","0","0","1","0","0","0","1","1","1","Feb 22 2024  5:00AM","","","","","","","","","","","","","","","","",""
884,12/31/2024 0:00:00,441,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
887,12/31/2024 0:00:00,444,"549300V0B2PZ5XF4SB58","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
888,12/31/2024 0:00:00,445,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
900,12/31/2024 0:00:00,451,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
909,12/31/2024 0:00:00,455,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
911,12/31/2024 0:00:00,457,"5493002Z4GZF8C2F3T27","1","1","1","0","0","0","0","0","1","0","1","0","1","1","1","Feb 23 2024  5:00AM","","","","","","","","","","","","","","","","",""
916,12/31/2024 0:00:00,460,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
926,12/31/2024 0:00:00,465,"254900UQIE22KBNLG837","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","1","1","","","","1","1","","","","","1","1","",""
930,12/31/2024 0:00:00,466,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
932,12/31/2024 0:00:00,468,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
943,12/31/2024 0:00:00,473,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
946,12/31/2024 0:00:00,475,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
948,12/31/2024 0:00:00,476,"5493007B1GAUZGYHPR07","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 27 2024  7:00AM","","","","","","","","","","","","","","","","",""
951,12/31/2024 0:00:00,477,"","1","0","1","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","",""
960,12/31/2024 0:00:00,482,"984500DE6B6YB8A5H465","1","0","1","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","",""
964,12/31/2024 0:00:00,485,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","1","1","1","1","","1","1","","","","","1","1","1",""
967,12/31/2024 0:00:00,486,"549300M9RHNQ4107R694","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan  9 2025  5:00AM","","","","","","","","","","","","","","","","",""
986,12/31/2024 0:00:00,494,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
988,12/31/2024 0:00:00,495,"25490059CRJPDQXWL974","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2025  5:00AM","","","","","","","","","","","","","","","","",""
1000,12/31/2024 0:00:00,500,"","1","1","0","0","0","0","0","0","1","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
1015,12/31/2024 0:00:00,509,"549300VFH2iXM3i18P78","1","1","1","1","1","0","0","0","1","0","1","0","1","1","1","Mar  4 2024  5:00AM","1","1","1","1","","1","1","1","1","","","","","","","",""
1021,12/31/2024 0:00:00,512,"2549000UEC0BWG8F1402","1","1","0","0","0","0","0","1","1","0","0","0","1","1","1","Jan 29 2024  5:00AM","","","","","","","","","","","","","","","","",""
1022,12/31/2024 0:00:00,513,"549300WC12JROIUVWY16","1","1","1","1","1","0","0","0","1","0","1","0","1","1","1","Feb 28 2024  5:00AM","","","","","","","","","","","","","","","","",""
1034,12/31/2024 0:00:00,521,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
1040,12/31/2024 0:00:00,524,"549300LYL7JC81I5DV55","1","1","1","1","1","0","0","0","0","0","1","0","1","1","1","Mar  1 2024  7:00AM","","","","","","","","","","","","","","","","",""
1049,12/31/2024 0:00:00,527,"2549007UXYHMV9ES9L95","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar 29 2024  4:00AM","","","","","","","","","","","","","","","","",""
1059,12/31/2024 0:00:00,530,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
1068,12/31/2024 0:00:00,532,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","1","1","","","","1","1","","","","","1","1","",""
1074,12/31/2024 0:00:00,534,"549300KPHGEE40YQXO21","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","","","","","","","","","","","","","","","","","",""
